,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_MAX_SCORE,CURRENT_BAL,PREVIOUS_BAL,LAST_PAYMENT,CRED_UTILIZATION_PERCENT,default_payment_next_month
205,20000,1,3,1,43,0,227,20351,22359,1,0
206,100000,1,1,1,47,0,390,1473,1473,0,0
207,210000,2,2,1,41,0,3088,1586,1586,1,1
208,80000,2,2,2,24,0,81625,81554,3200,102,1
209,330000,2,1,1,50,0,8872,4337,4345,3,0
210,220000,1,1,2,24,0,105607,108917,5000,48,0
211,210000,2,1,1,38,1,0,0,0,0,1
212,40000,2,3,1,43,0,38257,38901,1700,96,0
213,30000,1,2,2,39,2,28347,28108,3036,94,0
214,470000,1,2,2,27,2,296573,303320,13000,63,0
215,30000,1,3,1,42,2,390,390,390,1,0
216,240000,2,2,1,36,1,-946,-946,0,0,1
217,80000,1,2,2,36,2,79278,78501,3100,99,0
218,110000,2,3,0,31,0,89989,84229,4000,82,0
219,310000,2,1,2,38,0,1424,4542,4542,0,0
220,360000,2,1,1,40,2,105167,115468,12000,29,1
221,330000,2,3,2,45,0,335196,334954,12388,102,0
222,300000,2,2,2,35,0,291619,297268,12019,97,0
223,320000,2,2,2,33,0,91653,94037,10042,29,0
224,50000,2,3,2,37,3,52626,51537,0,105,1
225,170000,2,1,2,28,0,130370,131199,6530,77,0
226,350000,1,3,1,44,0,3265,2686,2686,1,0
227,20000,1,2,1,37,0,16455,16511,1609,82,0
228,50000,1,2,2,23,2,49758,48456,2401,100,1
229,20000,2,3,2,24,2,19154,18165,0,96,0
230,50000,2,1,2,24,0,35084,35796,2090,70,0
231,20000,1,2,2,23,2,20235,17132,0,101,1
232,50000,1,2,1,26,0,102800,0,0,206,0
233,190000,1,2,2,34,2,129801,131383,5000,68,1
234,60000,2,2,1,33,0,58203,36367,1506,97,0
235,80000,1,1,2,35,0,7988,3977,3983,10,0
236,150000,2,2,2,27,0,127402,110050,4500,85,0
237,210000,2,1,2,31,0,1440,0,0,1,0
238,240000,2,3,1,50,0,234205,231669,10116,98,1
239,140000,2,2,3,41,0,19346,21708,3000,14,1
240,60000,2,1,2,28,2,21501,20650,0,36,0
241,50000,1,1,2,39,0,47174,47974,1800,94,0
242,50000,2,2,2,27,0,26655,27724,1800,53,0
243,180000,2,1,2,32,2,3139,5853,2821,2,0
244,30000,2,1,2,40,2,142,215,355,0,0
245,20000,2,2,2,40,0,19816,20396,1601,99,0
246,250000,2,2,1,75,0,52874,1631,1631,21,0
247,100000,2,2,2,27,0,37767,34457,1788,38,0
248,330000,1,1,2,25,2,46140,45781,2504,14,0
249,50000,1,3,1,46,0,35713,15392,1561,71,0
250,50000,2,2,2,26,2,50867,51486,1710,102,0
251,30000,1,2,2,28,0,29242,29507,5006,97,0
252,140000,2,2,2,26,0,101551,105246,5366,73,1
253,160000,2,1,2,28,0,70243,47779,7042,44,0
254,400000,2,2,2,29,0,19532,3719,3127,5,0
255,50000,1,2,1,25,0,27699,28513,1565,55,0
256,140000,2,2,1,48,0,1154,1233,1233,1,0
257,160000,2,2,1,33,0,8015,2453,2453,5,0
258,100000,2,3,1,43,0,62170,0,0,62,0
259,220000,1,1,1,48,2,210380,213522,10000,96,1
260,510000,2,1,2,29,0,78331,99414,40010,15,0
261,50000,1,2,2,29,0,49276,35100,1602,99,0
262,160000,2,1,1,38,2,4473,4664,4664,3,0
263,230000,2,1,2,37,0,2283,50815,51315,1,0
264,80000,2,1,2,37,0,10115,249,258,13,0
265,150000,2,2,1,25,0,6156,0,0,4,0
266,10000,1,3,2,23,2,6974,7838,1134,70,0
267,130000,2,3,2,49,0,89003,91362,4100,68,1
268,40000,2,1,2,48,0,34871,34449,1600,87,0
269,50000,1,2,2,27,3,13694,14880,1700,27,1
270,100000,1,3,2,32,0,70003,31545,2035,70,0
271,120000,1,1,1,34,2,1082,632,0,1,0
272,260000,2,1,2,58,1,0,0,0,0,1
273,200000,2,2,2,33,0,11253,12852,2000,6,0
274,360000,2,2,2,28,0,0,0,0,0,1
275,70000,2,2,2,36,0,68699,69120,4483,98,0
276,460000,1,1,1,40,2,171,2715,2728,0,1
277,50000,2,1,2,26,0,1156,316,316,2,0
278,50000,1,3,1,33,0,50859,50462,2007,102,0
279,250000,2,2,1,31,0,103109,102594,4000,41,0
280,30000,2,1,2,27,0,1512,2458,1000,5,0
281,270000,1,2,1,44,0,127543,109189,10063,47,0
282,180000,2,3,2,30,0,163935,153152,7722,91,0
283,100000,2,1,2,28,0,53494,52656,4173,53,0
284,230000,2,3,1,32,0,195126,88743,5000,85,0
285,210000,2,1,1,46,0,110346,41986,41986,53,0
286,210000,1,1,2,38,2,60502,62804,3276,29,0
287,440000,2,2,1,46,0,180641,181557,8610,41,0
288,100000,2,2,2,25,2,70896,71678,3472,71,1
289,240000,2,2,1,46,0,8751,9900,1295,4,0
290,280000,1,1,2,33,0,898,898,898,0,1
291,50000,2,2,2,22,1,0,0,0,0,1
292,30000,1,2,1,43,3,1700,2610,1100,6,0
293,10000,1,2,2,27,2,7015,10227,3507,70,1
294,130000,1,1,2,29,1,0,0,0,0,0
295,200000,1,1,2,31,0,194353,197344,9000,97,0
296,120000,2,2,1,29,0,1686,657,657,1,0
297,210000,2,2,1,36,0,143225,142996,6483,68,0
298,280000,2,1,1,36,0,58983,60788,2755,21,0
299,300000,1,1,2,34,1,0,0,0,0,1
300,100000,1,2,2,37,0,99209,98222,3490,99,0
301,440000,2,1,2,36,0,0,0,0,0,0
302,50000,2,3,1,40,0,49941,51213,2400,100,0
303,20000,2,1,2,25,2,11968,14564,2800,60,1
304,200000,2,1,2,27,0,871,665,665,0,0
305,110000,2,2,2,26,0,432,3220,3220,0,0
306,500000,2,2,1,36,0,10483,23956,23962,2,0
307,300000,2,2,1,27,1,0,5215,5215,0,0
308,30000,1,3,1,55,4,9720,10613,1200,32,1
309,60000,2,1,2,27,0,20847,13801,13809,35,0
310,400000,2,2,1,38,0,3697,3600,1000,1,0
311,180000,2,2,1,34,0,143301,146333,7000,80,0
312,20000,1,1,2,40,2,10934,13738,3000,55,0
313,200000,2,3,1,49,2,52439,51040,0,26,1
314,100000,1,1,2,27,0,55734,52557,1631,56,0
315,60000,1,2,2,23,0,49507,33282,1970,83,1
316,110000,2,2,2,36,0,47819,48947,2200,43,0
317,260000,2,3,1,53,1,0,165,165,0,0
318,50000,2,3,1,46,3,48522,50955,3754,97,0
319,180000,1,2,2,29,1,-2,-2,0,0,0
320,110000,1,2,2,29,2,58362,56598,2500,53,1
321,340000,2,1,2,27,0,172180,180140,21105,51,0
322,50000,1,2,2,24,0,1399,2441,1070,3,0
323,230000,2,2,1,28,0,26361,18826,1710,11,1
324,360000,2,2,2,32,0,93029,94054,10000,26,0
325,210000,1,2,2,43,1,0,0,0,0,0
326,220000,2,2,1,41,2,650,650,325,0,1
327,60000,2,2,1,34,2,24898,27976,3800,41,1
328,340000,1,2,1,55,0,50396,44665,44665,15,0
329,150000,1,1,1,40,2,99855,102586,5200,67,0
330,200000,2,2,1,37,2,-179,505,1000,0,1
331,130000,2,2,2,40,2,9559,12394,3000,7,1
332,60000,2,1,2,28,2,10540,10232,0,18,0
333,400000,2,2,1,43,1,0,0,0,0,0
334,20000,1,1,2,27,0,20571,19089,1323,103,0
335,190000,2,1,2,28,0,143464,146943,5795,76,0
336,260000,2,1,2,30,0,156882,160246,10000,60,0
337,140000,2,2,2,31,0,390,0,0,0,0
338,50000,2,2,1,31,0,46512,47716,1974,93,1
339,120000,2,1,2,34,0,882,6531,6900,1,0
340,240000,2,2,2,30,0,92,92,92,0,0
341,50000,1,2,2,36,0,5916,6172,1212,12,0
342,200000,2,1,2,29,2,2393,183,0,1,0
343,180000,1,1,1,39,0,274731,281713,11000,153,0
344,180000,2,1,2,26,0,145403,138232,5440,81,0
345,160000,2,1,2,29,0,3097,-707,0,2,0
346,100000,2,2,2,26,0,1370,4192,4210,1,0
347,50000,2,2,2,29,0,47081,49316,3000,94,1
348,140000,2,2,2,31,0,138119,137950,6600,99,0
349,30000,2,2,2,26,0,17893,19012,1411,60,1
350,90000,1,1,2,26,0,39128,20473,1541,43,0
351,200000,1,1,1,36,1,-14386,-13543,10118,-7,0
352,380000,1,1,2,30,1,0,0,0,0,1
353,80000,2,2,2,43,0,77057,78102,3177,96,0
354,50000,1,3,1,58,2,15899,18720,3400,32,0
355,180000,1,2,1,45,0,27679,28422,1481,15,1
356,240000,2,2,2,26,0,141315,128940,6349,59,0
357,380000,1,2,2,34,0,194314,179206,9010,51,0
358,110000,2,4,2,24,0,83755,77431,3000,76,0
359,260000,1,1,1,34,0,49657,291,291,19,0
360,500000,2,2,2,23,4,507726,509229,10000,102,1
361,320000,2,2,2,30,0,71305,71151,2589,22,0
362,50000,1,2,2,32,4,45734,44741,0,91,0
363,110000,1,1,1,40,1,0,0,0,0,1
364,230000,2,1,2,35,0,761,300,300,0,0
365,330000,2,2,1,56,1,-9,1520,1529,0,0
366,50000,2,2,1,61,0,47166,49396,3000,94,0
367,10000,1,2,2,24,2,2887,1923,0,29,0
368,300000,1,1,1,40,1,0,0,0,0,0
369,20000,2,2,1,32,3,20631,20010,0,103,1
370,180000,1,2,1,36,2,83538,0,0,46,1
371,160000,1,1,2,30,0,99,2977,2977,0,0
372,90000,2,1,2,34,2,34302,35089,1640,38,0
373,30000,1,3,3,54,0,22987,22298,2500,77,0
374,180000,1,1,1,46,0,173267,174590,8100,96,0
375,30000,1,3,1,58,0,19143,20168,1640,64,0
376,30000,1,2,1,43,2,20518,19901,0,68,0
377,140000,2,1,2,28,0,10833,14446,14000,8,0
378,210000,1,1,2,30,0,69937,71906,3500,33,0
379,50000,1,2,2,31,0,20526,15129,2000,41,1
380,130000,2,2,2,29,0,89055,90780,4200,69,0
381,50000,2,2,1,37,2,1894,3200,1500,4,1
382,140000,1,3,1,36,0,100594,78372,3000,72,0
383,170000,2,2,2,28,2,2948,3848,1105,2,1
384,80000,1,2,2,25,0,22619,31429,10010,28,0
385,410000,2,4,1,42,0,338106,342904,15000,82,0
386,80000,2,1,2,29,1,0,80000,80000,0,0
387,80000,1,3,1,73,2,63144,65631,3500,79,1
388,150000,1,2,1,43,0,153249,154049,7900,102,0
389,260000,1,1,1,30,0,1131,291,291,0,1
390,350000,1,1,1,38,1,0,0,0,0,0
391,280000,2,2,1,39,1,-1312,35918,38621,0,1
392,310000,1,2,1,44,0,103797,91989,4400,33,0
393,140000,2,2,2,29,0,20110,17102,3000,14,0
394,360000,1,1,1,51,0,38000,25000,25000,11,0
395,140000,2,1,2,27,0,142428,144105,10000,102,0
396,100000,1,1,2,38,0,40810,42653,2502,41,0
397,50000,2,2,2,22,0,0,0,0,0,0
398,210000,2,2,1,30,0,104701,106134,4002,50,0
399,120000,2,2,2,25,2,120298,120822,4007,100,0
400,240000,1,1,2,29,0,156362,132280,5233,65,0
401,60000,2,3,3,42,0,41322,29091,1488,69,0
402,150000,1,1,2,41,2,1464,2084,2091,1,1
403,30000,1,2,1,48,0,27879,28870,1774,93,0
404,160000,2,1,2,29,2,160432,163916,7500,100,1
405,200000,1,1,1,52,0,3858,2690,2690,2,0
406,120000,2,2,1,25,0,26476,21393,6000,22,0
407,500000,1,1,1,37,2,507062,491956,325,101,0
408,320000,2,1,2,27,0,55607,62893,11404,17,0
409,280000,1,1,2,31,0,168382,175646,10000,60,0
410,60000,2,1,2,23,2,29332,28577,0,49,1
411,200000,2,1,1,38,0,190,0,0,0,0
412,230000,2,1,1,32,1,0,0,0,0,0
413,230000,2,2,2,27,2,13668,12647,0,6,1
414,480000,2,3,1,41,0,14867,26665,26734,3,0
415,50000,2,3,1,35,0,22500,5000,5000,45,0
416,200000,2,1,2,31,0,7184,14845,17507,4,0
417,50000,2,1,2,30,2,14811,16262,2000,30,0
418,50000,1,2,1,48,0,44338,43048,3629,89,0
419,260000,2,1,2,36,1,0,0,0,0,1
420,30000,1,1,2,24,2,25265,26354,1500,84,0
421,440000,2,1,2,29,0,169661,167199,8071,39,0
422,230000,2,2,2,38,0,10237,2795,2795,4,0
423,200000,1,2,1,38,2,104978,105924,4500,52,1
424,490000,2,2,1,30,0,192586,197967,10000,39,0
425,80000,2,2,1,32,0,11262,0,0,14,0
426,20000,2,3,2,49,2,9551,12081,3000,48,1
427,170000,2,1,2,31,0,199,199,199,0,1
428,70000,1,1,2,27,0,70119,68536,3600,100,0
429,210000,2,2,2,33,0,212601,177946,6000,101,0
430,90000,2,2,2,25,0,91894,71732,3200,102,0
431,390000,2,1,2,27,0,304867,299998,13007,78,1
432,110000,2,1,2,29,0,48123,49537,2500,44,0
433,580000,2,1,1,36,0,159760,162189,6422,28,0
434,360000,1,3,1,55,0,9210,8485,6015,3,0
435,270000,2,2,1,32,2,234752,233036,10000,87,1
436,60000,2,1,2,27,2,14072,0,0,23,0
437,110000,1,3,1,37,0,61807,62499,2300,56,0
438,50000,2,1,1,25,0,51044,50231,2500,102,0
439,80000,2,1,2,23,0,77024,73281,3212,96,1
440,50000,1,2,2,23,0,350,350,350,1,0
441,100000,1,1,2,32,2,83831,85586,4000,84,0
442,30000,2,1,2,26,1,0,0,0,0,0
443,200000,2,1,2,27,0,122923,124653,5704,61,0
444,240000,1,1,2,44,0,246135,231443,12026,103,1
445,220000,1,2,2,34,0,37304,33304,1600,17,0
446,160000,2,1,2,28,0,146433,107604,4500,92,0
447,180000,2,1,1,53,0,46122,1260,1260,26,0
448,200000,1,4,1,42,0,38564,38246,5000,19,0
449,140000,2,3,1,30,2,96304,98007,4505,69,0
450,380000,1,1,1,51,1,0,0,0,0,1
451,600000,1,1,1,53,2,467150,458862,0,78,1
452,260000,1,2,2,37,0,255691,262736,14000,98,0
453,200000,2,1,2,26,0,156786,179,179,78,0
454,80000,1,2,2,42,0,78129,28202,2500,98,0
455,40000,1,2,2,39,0,40034,36549,2027,100,0
456,130000,1,3,2,39,2,71034,69329,0,55,0
457,50000,1,1,2,32,0,23974,24131,1800,48,0
458,230000,2,2,1,41,0,819,18163,18163,0,0
459,70000,1,2,1,48,0,50927,39883,2100,73,1
460,180000,2,2,1,38,0,152510,151651,5657,85,0
461,80000,2,2,1,36,0,1689,8638,8638,2,0
462,290000,2,2,2,26,0,20807,99860,80000,7,0
463,230000,2,1,2,28,0,30141,131255,120093,13,0
464,170000,2,3,3,56,1,0,0,0,0,0
465,230000,1,1,1,59,0,208459,206331,7536,91,1
466,220000,1,1,2,38,0,212795,211043,8909,97,1
467,230000,1,2,2,32,0,28114,28006,1610,12,0
468,500000,1,2,1,38,0,59372,49677,10026,12,0
469,90000,2,1,1,41,0,6160,3274,3276,7,0
470,390000,2,3,2,35,0,355215,363325,13802,91,1
471,400000,2,2,2,41,0,366193,372700,14020,92,0
472,180000,1,2,1,34,0,2927,2790,2790,2,0
473,60000,1,3,1,38,2,29295,30321,1800,49,0
474,120000,2,2,1,32,0,4158,2682,2682,3,0
475,60000,2,2,2,29,0,27199,28358,1900,45,0
476,50000,1,1,2,44,0,50893,28527,1800,102,0
477,70000,2,2,1,37,2,66759,68200,2518,95,0
478,500000,2,1,1,38,2,600,300,0,0,0
479,200000,1,1,2,31,0,0,0,0,0,0
480,250000,2,2,1,40,2,44930,137101,120041,18,0
481,140000,1,2,2,26,2,131367,146193,17000,94,1
482,70000,2,2,2,28,2,41264,41799,2112,59,0
483,90000,1,3,1,48,2,77604,73317,1700,86,0
484,100000,2,2,1,43,0,2491,1709,1709,2,0
485,190000,1,2,1,31,0,177554,180633,7600,93,0
486,230000,2,1,1,42,0,6865,15111,15111,3,0
487,320000,1,2,1,39,0,93768,91523,3317,29,0
488,220000,2,2,1,36,0,396,1648,1648,0,1
489,260000,2,1,1,34,0,16426,6088,6277,6,0
490,90000,2,2,2,32,0,573,0,157,1,0
491,30000,2,2,1,43,2,28703,26622,1300,96,0
492,260000,1,2,2,30,2,98560,100980,4000,38,0
493,170000,2,2,2,28,0,28304,17616,4000,17,0
494,80000,2,1,1,28,0,8574,9434,1203,11,1
495,50000,1,1,1,41,0,508,672,1000,1,0
496,200000,2,3,2,47,0,203183,202961,7521,102,0
497,20000,1,2,2,23,2,16440,20417,7403,82,0
498,250000,2,1,1,49,0,66,0,0,0,0
499,20000,1,1,1,38,2,15912,17272,1623,80,0
500,30000,2,2,1,38,2,20344,21705,2000,68,0
501,90000,2,2,1,35,2,23132,22474,0,26,0
